Tuple Addresses,ID,Name,Age,Salary
358252576,80941,itgoztrjlbohvmsndxasmegi½!5eö,121,1870294628
358252608,16371,ydnzokgbjbmoudexftsrqzai½!5eö,103,1818977123
358252640,37116,gccklvpoqabfdcignkmtvqci½!5eö,102,1634562168
358252672,72174,fxpmalvxcplvauvrokalmqli½!5eö,113,1987666551
358252704,71097,qwbyvgdplmwoyqefojnzocvi½!5eö,112,1870031994
358252736,59597,pzlvoquofkgjfsrqoydzleai½!5eö,112,2020306017
358252768,80517,palkxdktvbyssxemgflbuloi½!5eö,103,1953853793
358252800,51639,gaqutekajcgpxdoquaifsqyi½!5eö,110,1769633126
358252832,15054,nfuzikhvtlvmfsicajpnksdi½!5eö,120,1768120952
358252864,46791,xxbcibscugabqfcovfonamli½!5eö,117,1684828534
358252896,51330,uvqldwtffmuuyyvsawjucwui½!5eö,109,1953653364
358252928,21450,mtbrtzykavbcoptktaepfsui½!5eö,101,1684889962
358252960,93283,ejamdstyjehtltdvjlcepksi½!5eö,109,2036556900
358252992,41319,mddcyuyuwvzbdlvbprcqdzsi½!5eö,98,1902341748
358253024,4819,btncqzzeeyzdxumoaoszavpi½!5eö,119,1685287786
358253056,65180,wjssdjzqyrxexdblcvarqfyi½!5eö,112,1868915820
358253088,19627,pldeosqfkfdjybzprgbneipi½!5eö,102,2020368738
358253120,93954,fbalxophbvnheattggiahuqi½!5eö,119,2037280625
358253152,41326,wqonyrasmjwlbwpxokxkkzki½!5eö,107,2037478261
358253184,29647,kusqykdppaqetjqhgdjrbuoi½!5eö,121,1651010935
358253216,92404,ywmhbyqnbwdsndqqtynnwgzi½!5eö,122,1835625062
358253248,84533,zfjimjgbchoginlyocuccqui½!5eö,115,1986622821
358253280,50500,seuivuvjthqtzuzsaaqqrori½!5eö,99,1786082665
358253312,75594,ciuujgcherxrhrncvtnresbi½!5eö,118,2021027185
358253344,83619,vqmvxvuqugajjiqlnbenpayi½!5eö,97,1920100729
358253376,71174,ayirrbapzczcuaqibuttyqhi½!5eö,97,1734700662
